username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AlArabiya_Urdu;2016-03-10 22:03;0;0;"India threatens legal action if Pakistan backs out of WT20: Spokesman for Indian Ministry of External Affairs , Vikas Swarup on Thursd...";;;;"707967587838078977";https://twitter.com/AlArabiya_Urdu/status/707967587838078977
Lornz_dd;2016-03-10 21:07;0;1;"Indian Minister of External Affairs - Of Service #Leadership #India #Batho Pele - #SouthAfrica https:// twitter.com/SushmaSwaraj/s tatus/707917619135819776 …";;;#Leadership #India #Batho #SouthAfrica;"707953432120860672";https://twitter.com/Lornz_dd/status/707953432120860672
sapangoyal;2016-03-10 17:16;1;0;"ISBPL: #NEWS India reviews security arrangements at missions in Afghanistan: MoS for External Affairs V K Sing... http:// bit.ly/222dYnn";;;#NEWS;"707895304205414400";https://twitter.com/sapangoyal/status/707895304205414400
NewsGram1;2016-03-10 15:21;0;0;"MOIA merges into Ministry of External Affairs - http:// goo.gl/tXOoyV #India #IndianDiaspora pic.twitter.com/ppufMsoxRp";;;#India #IndianDiaspora;"707866390342938624";https://twitter.com/NewsGram1/status/707866390342938624
SayNo2SoldMedia;2016-03-10 13:30;0;0;"Increase in attacks on India by Pak based terrorists: Gen V K Singh Minister of State for External Affairs ... http:// fb.me/4NE8Gk1gJ";;;;"707838408303845378";https://twitter.com/SayNo2SoldMedia/status/707838408303845378
sunnju;2016-03-10 11:03;0;2;"The best performing External Affairs Minister India ever had @SushmaSwaraj , people thanks to @BJP4India @Kummanam pic.twitter.com/zBN6ybXTy5";;@SushmaSwaraj @BJP4India @Kummanam;;"707801487322304512";https://twitter.com/sunnju/status/707801487322304512
hetaldp;2016-03-10 09:52;0;0;"Salute to @SushmaSwaraj and her team for her outstanding work she is carrying out as Minister of External Affairs of India !";;@SushmaSwaraj;;"707783730178330624";https://twitter.com/hetaldp/status/707783730178330624
dMurali;2016-03-10 07:22;0;0;"Ministry of External Affairs 09-March, 2016 17:24 IST Visit of Nepalese PM to India The Prime Minister of... http:// fb.me/7bpMkZbca";;;;"707745910504222721";https://twitter.com/dMurali/status/707745910504222721
DunyaNews;2016-03-09 17:42;7;14;"Ministry of External Affairs of India should now wake up & give a call to #Pakistan . @WajSKhan pic.twitter.com/Af6doNta8p";;@WajSKhan;#Pakistan;"707539482963271680";https://twitter.com/DunyaNews/status/707539482963271680
NewsforIndia14;2016-03-09 13:16;0;0;"India , US to deepen collaboration against LeT, JeM The White House Ministry of External Affairs , India ... http:// fb.me/5xzR1KhNg";;;;"707472630429908993";https://twitter.com/NewsforIndia14/status/707472630429908993
ComboNewsIndia;2016-03-08 12:15;0;0;"Sister Sally evacuated from Yemen: Sushma Swaraj: External Affairs Minister Sushma Swaraj said on... http:// bit.ly/1U9zPDm #India #News";;;#India #News;"707094774226952197";https://twitter.com/ComboNewsIndia/status/707094774226952197
JAMMULINKS;2016-03-08 09:57;0;0;"Indian Council for Cultural Relations (ICCR), Ministry of External Affairs , Government of India in collaboration... http:// fb.me/10tVKFTkk";;;;"707060078139088898";https://twitter.com/JAMMULINKS/status/707060078139088898
tkaran50;2016-03-07 23:46;0;0;"India , Saudi Arabia to hold talks tomorrow: External affairs minister Sushma Swaraj will hold extensive talks ... http:// bit.ly/21T3erq";;;;"706906346604482561";https://twitter.com/tkaran50/status/706906346604482561
MMswayambhu;2016-03-07 10:54;0;1;"Minister of external affairs : Tarek Fateh should be given Indian Citizenship like Adnan Saam... https://www. change.org/p/minister-of- external-affairs-tarek-fateh-should-be-given-indian-citizenship-like-adnan-saami?recruiter=358375644&utm_source=share_petition&utm_medium=twitter&utm_campaign=share_twitter_responsive … via @ChangeOrg_ India";;@ChangeOrg_;;"706712116686770176";https://twitter.com/MMswayambhu/status/706712116686770176
shivakumarpat14;2016-03-06 11:20;11;9;"Keep up the good work Sushma Swaraj Ministry of External Affairs , India @HinduRajyam pic.twitter.com/25fTw8slBd";;@HinduRajyam;;"706356250158592001";https://twitter.com/shivakumarpat14/status/706356250158592001
omeisy;2016-03-05 23:15;23;4;"More "diabolical violence"- India 's minister of external affairs says Indian priest abducted by terrorists in #Yemen pic.twitter.com/iyEmtDU7Kv";;;#Yemen;"706173838099398656";https://twitter.com/omeisy/status/706173838099398656
SumannSharrma;2016-03-05 13:52;3;5;"EAM @SushmaSwaraj says it's possible to help Indians abroad b'cos a woman is India 's External Affairs Minister";;@SushmaSwaraj;;"706032054249467904";https://twitter.com/SumannSharrma/status/706032054249467904
KINGDOM_BAHRAIN;2016-03-05 09:38;2;0;"#India Minister of External Affairs comment on the Indian worker killed in #AwamiaUnderSiege . #Awamia #Qatif https:// twitter.com/Sus ...";;;#India #AwamiaUnderSiege #Awamia #Qatif;"705968286488403968";https://twitter.com/KINGDOM_BAHRAIN/status/705968286488403968
AngryQatifi;2016-03-05 08:53;15;3;"#India Minister of External Affairs comment on the Indian worker killed in #AwamiaUnderSiege . #Awamia #Qatif https:// twitter.com/SushmaSwaraj/s tatus/703198832662749186 …";;;#India #AwamiaUnderSiege #Awamia #Qatif;"705956803436085248";https://twitter.com/AngryQatifi/status/705956803436085248
NewsforIndia14;2016-03-04 23:59;0;0;"India drags US to World Trade Organization WTO OMC over work visas Ministry of External Affairs , India Richard... http:// fb.me/12fZfHfgk";;;;"705822457974882305";https://twitter.com/NewsforIndia14/status/705822457974882305
Prsnnta;2016-03-04 19:47;0;0;"#India ’s External Affairs Minister Sushma Swaraj said that she held consultations with the top #SriLankan leadership to resolve (1/2)";;;#India #SriLankan;"705759041927180288";https://twitter.com/Prsnnta/status/705759041927180288
TheBrightIndia;2016-03-04 16:10;0;0;"Keep up the good work Sushma Swaraj Ministry of External Affairs , India http:// fb.me/4sQTI6vod";;;;"705704434777456640";https://twitter.com/TheBrightIndia/status/705704434777456640
lankawire;2016-03-04 11:58;1;1;"India , Sri Lanka to hold meeting on fishermen issue in May: India 's External Affairs Minister S... http:// bit.ly/21LPnjo #srilanka #lka";;;#srilanka #lka;"705641080067231750";https://twitter.com/lankawire/status/705641080067231750
assams;2016-03-04 04:29;0;0;"India boosts aid to other countries: The ministry of external affairs is smarting under a Rs 500-crore cut in ... http:// bit.ly/1Ttb6LU";;;;"705527949659746304";https://twitter.com/assams/status/705527949659746304
Vincent__Patel;2016-03-04 04:05;0;0;"Check this @SuryaRay India boosts aid to other countries: The ministry of external affairs is… http:// dlvr.it/KgvPym #SuryaRay #India";;@SuryaRay;#SuryaRay #India;"705522092985352192";https://twitter.com/Vincent__Patel/status/705522092985352192
tkaran50;2016-03-04 03:46;0;0;"India boosts aid to other countries: The ministry of external affairs is smarting under a Rs 500-crore cut in ... http:// bit.ly/1Tt3rxa";;;;"705517343565197312";https://twitter.com/tkaran50/status/705517343565197312
NewsforIndia14;2016-03-04 01:07;0;0;"Don’t drag India into Madhesh issue in Nepal: Nitish Kumar Ministry of External Affairs , India PMO India ... http:// fb.me/4R9XLC7SA";;;;"705477124044488704";https://twitter.com/NewsforIndia14/status/705477124044488704
smlravi;2016-03-03 19:13;0;0;"World Evocation from MINISTER OF EXTERNAL AFFAIRS OF INDIA SAVE MY MOTHER pic.twitter.com/VNSMFJTEVq";;;;"705388023630794755";https://twitter.com/smlravi/status/705388023630794755
KamSingh;2016-03-03 17:35;0;0;"Will India be source of greater funding flows for global refugee crises, humanitarian crises? No - Mehta from Ministry of External Affairs";;;;"705363420330065920";https://twitter.com/KamSingh/status/705363420330065920
KamSingh;2016-03-03 17:33;0;0;"Sujata Mehta, Ministy of External Affairs says India is not a reasonable source of financing for global dev in future #Raisina";;;#Raisina;"705362915717566464";https://twitter.com/KamSingh/status/705362915717566464
orfonline;2016-03-03 11:13;1;0;"Santosh Jha, JS[PP & R, GCI and ERS], Ministry of External Affairs , Government of India moderates the session. #Raisina";;;#Raisina;"705267332520652800";https://twitter.com/orfonline/status/705267332520652800
HomayonAhmadi;2016-03-03 10:09;0;0;"Raisina Dialogue 2016, India 's flagship international dialogue, co-hosted by the Ministry of External Affairs of... http:// fb.me/2bvz4caYv";;;;"705251327006412800";https://twitter.com/HomayonAhmadi/status/705251327006412800
SchillerInst;2016-03-03 01:56;2;0;"The Raisina dialogue is a joint project of the Ministry of External Affairs ad the Observer Research Foundation in New Delhi, India .";;;;"705127108901801984";https://twitter.com/SchillerInst/status/705127108901801984
NewsforIndia14;2016-03-02 23:15;0;0;"Eight die as Indian consulate in Jalalabad is attacked Ministry of External Affairs , India ... http:// fb.me/3IjEvzgP7";;;;"705086697114050560";https://twitter.com/NewsforIndia14/status/705086697114050560
dMurali;2016-03-02 22:56;0;0;"Ministry of External Affairs 02-March, 2016 16:18 IST Indo-Iran Ties India welcomed the announcement of lifting... http:// fb.me/4vrLQGK6Q";;;;"705081968346669056";https://twitter.com/dMurali/status/705081968346669056
Lorand;2016-03-02 20:54;0;0;"“Calling Romas "children of India " External Affairs Minister Sushma Swaraj today pitched for preservation and... http:// buff.ly/1WUWRND";;;;"705051243203469313";https://twitter.com/Lorand/status/705051243203469313
Rory_Medcalf;2016-03-01 19:47;8;3;"Indian External Affairs Minister says India 's maritime region as important as continental one for connectivity @raisinadialogue";;@raisinadialogue;;"704671797866704900";https://twitter.com/Rory_Medcalf/status/704671797866704900
orfonline;2016-03-01 19:32;4;1;". @SushmaSwaraj , India 's External Affairs Minister takes the floor #Raisina";;@SushmaSwaraj;#Raisina;"704668148537004032";https://twitter.com/orfonline/status/704668148537004032
shankasur;2016-02-29 12:18;0;0;"Apparently I’ve been quoted in India Perspectives, a bi-monthly magazine published by Min of External Affairs in their Nov-Dec 15 issue.";;;;"704196593319223296";https://twitter.com/shankasur/status/704196593319223296
nepdog;2016-02-26 12:14;1;0;"Pandey: “Who said [Oli’s India trip] is a state visit?" Answer: India 's Ministry of External Affairs did. https:// twitter.com/SouthAsiaCheck /status/703092642775588865 …";;;;"703108457767960577";https://twitter.com/nepdog/status/703108457767960577
shikha7342;2016-02-25 20:26;0;0;"Masood Azhar 'detention' to be raised when Pakistan SIT visits India : Centre: External Affairs Ministry Spokes... http:// bit.ly/1Q47vzJ";;;;"702869827065516032";https://twitter.com/shikha7342/status/702869827065516032
ttindia;2016-02-25 07:46;23;14;"Ministers of finance and external affairs in quiet tussle. #India #politics http:// bit.ly/1RoQUXA pic.twitter.com/dD6mRms7tD";;;#India #politics;"702678479117025280";https://twitter.com/ttindia/status/702678479117025280
tgjenkins;2016-02-24 13:48;0;0;"Parliament panel 'unhappy' over Ministry of External Affairs projection of India as #softpower http:// m.economictimes.com/articleshow/51 110825.cms …";;;#softpower;"702407114808041472";https://twitter.com/tgjenkins/status/702407114808041472
IndiaNews247;2016-02-24 01:42;0;0;"India Today impact: Sushma Swaraj reaches out to Kerala woman stuck in Kuwait: External Affairs Minister Sushm... http:// bit.ly/21omWb0";;;;"702224523769171969";https://twitter.com/IndiaNews247/status/702224523769171969
AshikOnFire;2016-02-24 00:00;0;0;"India Today impact: Sushma Swaraj reaches out to Kerala woman stuck in Kuwait: External Affairs Minister S... http:// bit.ly/21d74LL ITH";;;;"702198789281439745";https://twitter.com/AshikOnFire/status/702198789281439745
AshikOnFire;2016-02-23 22:24;0;0;"ETP Parliament panel 'unhappy' over MEA projection of India as soft power: External Affairs Ministry is unders... http:// bit.ly/1Q9fc5t";;;;"702174683236405248";https://twitter.com/AshikOnFire/status/702174683236405248
